68.83.230.243 - - [06/Dec/2015:07:44:48 -0800] "GET /_assets/DiMenna_003.jpg HTTP/1.1" 200 349095 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/537.86.2" "www.dimennabrotherspainting.com"
68.83.230.243 - - [06/Dec/2015:07:44:48 -0800] "GET /_assets/DiMenna_004.jpg HTTP/1.1" 200 363258 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/537.86.2" "www.dimennabrotherspainting.com"
68.83.230.243 - - [06/Dec/2015:07:44:49 -0800] "GET /_assets/DiMenna_006.jpg HTTP/1.1" 200 381232 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/537.86.2" "www.dimennabrotherspainting.com"
68.83.230.243 - - [06/Dec/2015:07:44:49 -0800] "GET /_assets/DiMenna_007.jpg HTTP/1.1" 200 370448 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/537.86.2" "www.dimennabrotherspainting.com"
68.83.230.243 - - [06/Dec/2015:07:44:49 -0800] "GET /_assets/DiMenna_008.jpg HTTP/1.1" 200 441895 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/537.86.2" "www.dimennabrotherspainting.com"
68.83.230.243 - - [06/Dec/2015:07:44:50 -0800] "GET /_assets/DiMenna_009.jpg HTTP/1.1" 200 335724 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/537.86.2" "www.dimennabrotherspainting.com"
68.83.230.243 - - [06/Dec/2015:07:44:50 -0800] "GET /favicon.ico HTTP/1.1" 404 89 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/537.86.2" "www.dimennabrotherspainting.com"
68.83.230.243 - - [06/Dec/2015:07:44:54 -0800] "GET /contact.php HTTP/1.1" 200 4804 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/537.86.2" "www.dimennabrotherspainting.com"
68.83.230.243 - - [06/Dec/2015:07:44:55 -0800] "GET /services.html HTTP/1.1" 200 6875 "http://www.dimennabrotherspainting.com/contact.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/537.86.2" "www.dimennabrotherspainting.com"
68.83.230.243 - - [06/Dec/2015:07:44:55 -0800] "GET /_js/lightbox.js HTTP/1.1" 200 14872 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/537.86.2" "www.dimennabrotherspainting.com"
68.83.230.243 - - [06/Dec/2015:07:44:55 -0800] "GET /_css/lightbox.css HTTP/1.1" 200 3874 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/537.86.2" "www.dimennabrotherspainting.com"
68.83.230.243 - - [06/Dec/2015:07:44:56 -0800] "GET /_assets/DiMenna_102th.jpg HTTP/1.1" 200 24886 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/537.86.2" "www.dimennabrotherspainting.com"
68.83.230.243 - - [06/Dec/2015:07:44:56 -0800] "GET /_assets/DiMenna_105th.jpg HTTP/1.1" 200 20509 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/537.86.2" "www.dimennabrotherspainting.com"
68.83.230.243 - - [06/Dec/2015:07:44:56 -0800] "GET /_assets/DiMenna_108th.jpg HTTP/1.1" 200 146245 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/537.86.2" "www.dimennabrotherspainting.com"
68.83.230.243 - - [06/Dec/2015:07:44:56 -0800] "GET /_assets/DiMenna_109th.jpg HTTP/1.1" 200 25863 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/537.86.2" "www.dimennabrotherspainting.com"
68.83.230.243 - - [06/Dec/2015:07:44:56 -0800] "GET /_assets/DiMenna_111th.jpg HTTP/1.1" 200 133507 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/537.86.2" "www.dimennabrotherspainting.com"
68.83.230.243 - - [06/Dec/2015:07:44:56 -0800] "GET /_assets/DiMenna_114th.jpg HTTP/1.1" 200 25530 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/537.86.2" "www.dimennabrotherspainting.com"
68.83.230.243 - - [06/Dec/2015:07:44:56 -0800] "GET /img/close.png HTTP/1.1" 404 89 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/537.86.2" "www.dimennabrotherspainting.com"
68.83.230.243 - - [06/Dec/2015:07:44:56 -0800] "GET /img/loading.gif HTTP/1.1" 404 89 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/537.86.2" "www.dimennabrotherspainting.com"
68.83.230.243 - - [06/Dec/2015:07:44:56 -0800] "GET /img/prev.png HTTP/1.1" 404 89 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/537.86.2" "www.dimennabrotherspainting.com"
68.83.230.243 - - [06/Dec/2015:07:44:56 -0800] "GET /img/next.png HTTP/1.1" 404 89 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/537.86.2" "www.dimennabrotherspainting.com"
68.83.230.243 - - [06/Dec/2015:07:44:58 -0800] "GET /index.html HTTP/1.1" 200 6951 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/537.86.2" "www.dimennabrotherspainting.com"
68.83.230.243 - - [06/Dec/2015:07:45:00 -0800] "GET /about.html HTTP/1.1" 200 6204 "http://www.dimennabrotherspainting.com/index.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/537.86.2" "www.dimennabrotherspainting.com"
68.83.230.243 - - [06/Dec/2015:07:45:01 -0800] "GET /_assets/DiMenna_200th.jpg HTTP/1.1" 200 19272 "http://www.dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/537.86.2" "www.dimennabrotherspainting.com"
68.83.230.243 - - [06/Dec/2015:07:45:01 -0800] "GET /_assets/DiMenna_201th.jpg HTTP/1.1" 200 24458 "http://www.dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/537.86.2" "www.dimennabrotherspainting.com"
