98.21.52.103 - - [03/Feb/2016:13:10:55 -0800] "GET /_assets/DiMenna_100th.jpg HTTP/1.1" 200 26342 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko" "www.dimennabrotherspainting.com"
98.21.52.103 - - [03/Feb/2016:13:10:55 -0800] "GET /_assets/DiMenna_109th.jpg HTTP/1.1" 200 25863 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko" "www.dimennabrotherspainting.com"
98.21.52.103 - - [03/Feb/2016:13:10:55 -0800] "GET /_assets/DiMenna_108th.jpg HTTP/1.1" 200 146245 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko" "www.dimennabrotherspainting.com"
98.21.52.103 - - [03/Feb/2016:13:10:55 -0800] "GET /_assets/DiMenna_110th.jpg HTTP/1.1" 200 27731 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko" "www.dimennabrotherspainting.com"
98.21.52.103 - - [03/Feb/2016:13:10:55 -0800] "GET /img/next.png HTTP/1.1" 404 89 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko" "www.dimennabrotherspainting.com"
98.21.52.103 - - [03/Feb/2016:13:10:55 -0800] "GET /img/prev.png HTTP/1.1" 404 89 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko" "www.dimennabrotherspainting.com"
98.21.52.103 - - [03/Feb/2016:13:10:55 -0800] "GET /img/close.png HTTP/1.1" 404 89 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko" "www.dimennabrotherspainting.com"
98.21.52.103 - - [03/Feb/2016:13:10:55 -0800] "GET /img/loading.gif HTTP/1.1" 404 89 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko" "www.dimennabrotherspainting.com"
98.21.52.103 - - [03/Feb/2016:13:10:55 -0800] "GET /_assets/DiMenna_111th.jpg HTTP/1.1" 200 133507 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko" "www.dimennabrotherspainting.com"
98.21.52.103 - - [03/Feb/2016:13:10:55 -0800] "GET /_assets/DiMenna_113th.jpg HTTP/1.1" 200 24553 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko" "www.dimennabrotherspainting.com"
98.21.52.103 - - [03/Feb/2016:13:10:55 -0800] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; Trident/7.0; Touch; rv:11.0) like Gecko" "www.dimennabrotherspainting.com"
98.21.52.103 - - [03/Feb/2016:13:11:22 -0800] "GET /_assets/DiMenna_103.jpg HTTP/1.1" 200 173537 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko" "www.dimennabrotherspainting.com"
98.21.52.103 - - [03/Feb/2016:13:11:23 -0800] "GET /_assets/DiMenna_105.jpg HTTP/1.1" 200 191307 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko" "www.dimennabrotherspainting.com"
98.21.52.103 - - [03/Feb/2016:13:11:23 -0800] "GET /_assets/DiMenna_102.jpg HTTP/1.1" 200 200374 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko" "www.dimennabrotherspainting.com"
180.76.15.7 - - [03/Feb/2016:13:34:18 -0800] "GET / HTTP/1.1" 200 6951 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "dimennabrotherspainting.com"
180.76.15.134 - - [03/Feb/2016:14:09:02 -0800] "GET /_js/?D=A HTTP/1.1" 200 1105 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.dimennabrotherspainting.com"
