180.76.15.8 - - [04/Feb/2016:18:25:29 -0800] "GET / HTTP/1.1" 200 6951 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "dimennabrotherspainting.com"
45.55.153.183 - - [04/Feb/2016:22:09:31 -0800] "GET / HTTP/1.1" 200 6951 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0" "dimennabrotherspainting.com"
45.55.153.183 - - [04/Feb/2016:22:09:33 -0800] "GET /robots.txt HTTP/1.1" 200 54 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)" "dimennabrotherspainting.com"
45.55.153.183 - - [04/Feb/2016:22:09:50 -0800] "GET /about.html HTTP/1.1" 200 6204 "http://dimennabrotherspainting.com" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36" "dimennabrotherspainting.com"
45.55.153.183 - - [04/Feb/2016:22:09:50 -0800] "GET /index.html HTTP/1.1" 200 6951 "http://dimennabrotherspainting.com" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)" "dimennabrotherspainting.com"
45.55.153.183 - - [04/Feb/2016:22:09:50 -0800] "GET /services.html HTTP/1.1" 200 6875 "http://dimennabrotherspainting.com" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0" "dimennabrotherspainting.com"
45.55.153.183 - - [04/Feb/2016:22:09:51 -0800] "GET /contact.php HTTP/1.1" 200 4804 "http://dimennabrotherspainting.com" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14" "dimennabrotherspainting.com"
180.76.15.143 - - [05/Feb/2016:00:29:49 -0800] "GET / HTTP/1.1" 200 6951 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.dimennabrotherspainting.com"
180.76.15.150 - - [05/Feb/2016:09:53:56 -0800] "GET /_js/?S=A HTTP/1.1" 200 1105 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.dimennabrotherspainting.com"
