72.94.88.235 - - [13/Mar/2016:07:44:01 -0700] "GET /_assets/DiMenna_100th.jpg HTTP/1.1" 200 26342 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36" "www.dimennabrotherspainting.com"
72.94.88.235 - - [13/Mar/2016:07:44:01 -0700] "GET /_assets/DiMenna_103th.jpg HTTP/1.1" 200 21184 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36" "www.dimennabrotherspainting.com"
72.94.88.235 - - [13/Mar/2016:07:44:01 -0700] "GET /_assets/DiMenna_105th.jpg HTTP/1.1" 200 20509 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36" "www.dimennabrotherspainting.com"
72.94.88.235 - - [13/Mar/2016:07:44:01 -0700] "GET /_assets/DiMenna_112th.jpg HTTP/1.1" 200 144240 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36" "www.dimennabrotherspainting.com"
72.94.88.235 - - [13/Mar/2016:07:44:01 -0700] "GET /_assets/DiMenna_114th.jpg HTTP/1.1" 200 25530 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36" "www.dimennabrotherspainting.com"
38.100.21.66 - - [13/Mar/2016:08:06:54 -0700] "GET /contact.php HTTP/1.1" 200 4804 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)" "www.dimennabrotherspainting.com"
38.100.21.66 - - [13/Mar/2016:08:06:54 -0700] "GET /about.html HTTP/1.1" 200 6204 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)" "www.dimennabrotherspainting.com"
38.100.21.66 - - [13/Mar/2016:08:06:54 -0700] "GET /_css/main.css HTTP/1.1" 200 27326 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)" "www.dimennabrotherspainting.com"[0]
50.200.93.250 - - [13/Mar/2016:08:09:41 -0700] "GET /_css/lightbox.css HTTP/1.1" 304 - "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "www.dimennabrotherspainting.com"
50.200.93.250 - - [13/Mar/2016:08:09:41 -0700] "GET /_assets/DiMenna_100th.jpg HTTP/1.1" 200 26342 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "www.dimennabrotherspainting.com"
50.200.93.250 - - [13/Mar/2016:08:09:41 -0700] "GET /_img/alist.png HTTP/1.1" 200 98370 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "www.dimennabrotherspainting.com"
50.200.93.250 - - [13/Mar/2016:08:09:41 -0700] "GET /_js/jquery-1.11.0.min.js HTTP/1.1" 200 96380 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "www.dimennabrotherspainting.com"
50.200.93.250 - - [13/Mar/2016:08:09:41 -0700] "GET /_assets/DiMenna_112th.jpg HTTP/1.1" 200 144240 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "www.dimennabrotherspainting.com"
50.200.93.250 - - [13/Mar/2016:08:09:41 -0700] "GET /_assets/DiMenna_102th.jpg HTTP/1.1" 200 24886 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "www.dimennabrotherspainting.com"
50.200.93.250 - - [13/Mar/2016:08:09:41 -0700] "GET /_assets/DiMenna_107th.jpg HTTP/1.1" 200 20865 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "www.dimennabrotherspainting.com"[0]
50.200.93.250 - - [13/Mar/2016:08:09:42 -0700] "GET /img/close.png HTTP/1.1" 404 89 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "www.dimennabrotherspainting.com"
50.200.93.250 - - [13/Mar/2016:08:09:42 -0700] "GET /img/loading.gif HTTP/1.1" 404 89 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "www.dimennabrotherspainting.com"
50.200.93.250 - - [13/Mar/2016:08:09:42 -0700] "GET /img/prev.png HTTP/1.1" 404 89 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "www.dimennabrotherspainting.com"
50.200.93.250 - - [13/Mar/2016:08:11:36 -0700] "GET /_css/main.css HTTP/1.1" 200 27326 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "dimennabrotherspainting.com"
50.200.93.250 - - [13/Mar/2016:08:11:36 -0700] "GET /_js/jquery-1.11.0.min.js HTTP/1.1" 200 96380 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "dimennabrotherspainting.com"
50.200.93.250 - - [13/Mar/2016:08:11:36 -0700] "GET /_js/responsiveslides.min.js HTTP/1.1" 200 3397 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "dimennabrotherspainting.com"
50.200.93.250 - - [13/Mar/2016:08:11:36 -0700] "GET /_img/alist.png HTTP/1.1" 200 98370 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "dimennabrotherspainting.com"[0]
50.200.93.250 - - [13/Mar/2016:08:11:38 -0700] "GET /_assets/DiMenna_009.jpg HTTP/1.1" 200 335724 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "dimennabrotherspainting.com"
50.200.93.250 - - [13/Mar/2016:08:13:40 -0700] "GET /img/loading.gif HTTP/1.1" 404 89 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "www.dimennabrotherspainting.com"
