71.224.164.27 - - [18/Nov/2015:12:42:21 -0800] "GET /contact_us HTTP/1.1" 200 48230 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (iPad; CPU OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B206 Safari/7534.48.3" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:12:43:17 -0800] "POST /contact_us/submit/ HTTP/1.1" 200 17 "http://www.dimennabrotherspainting.com/contact_us" "Mozilla/5.0 (iPad; CPU OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B206 Safari/7534.48.3" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:12:57:41 -0800] "GET / HTTP/1.1" 200 35297 "https://www.google.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:12:57:42 -0800] "GET /yahoo_site_admin/assets/images/powerwashing-annapolis-940x360.187134547_std.jpg HTTP/1.1" 200 51762 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:13:01:10 -0800] "GET /yahoo_site_admin/assets/images/power-washing3.187134423_std.jpg HTTP/1.1" 200 135008 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:13:01:10 -0800] "GET /yahoo_site_admin/assets/images/paint_buckets.18495216_std.jpg HTTP/1.1" 200 11764 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:13:01:10 -0800] "GET /yahoo_site_admin/assets/images/powerwashing-annapolis-940x360.187134547_std.jpg HTTP/1.1" 200 51762 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:13:03:02 -0800] "GET /services.html HTTP/1.1" 200 6656 "https://www.google.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:13:03:02 -0800] "GET /_js/lightbox.js HTTP/1.1" 200 14872 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:13:03:02 -0800] "GET /_img/dimennalogo.png HTTP/1.1" 200 15115 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:13:03:02 -0800] "GET /_css/lightbox.css HTTP/1.1" 200 3874 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:13:03:02 -0800] "GET /_img/alist.png HTTP/1.1" 200 98370 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:13:03:02 -0800] "GET /_assets/DiMenna_108th.jpg HTTP/1.1" 200 146245 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:13:03:02 -0800] "GET /_assets/DiMenna_110th.jpg HTTP/1.1" 200 27731 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:13:03:02 -0800] "GET /_assets/DiMenna_111th.jpg HTTP/1.1" 200 133507 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:13:03:03 -0800] "GET /img/close.png HTTP/1.1" 404 89 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:13:03:03 -0800] "GET /img/prev.png HTTP/1.1" 404 89 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:13:03:03 -0800] "GET /_assets/DiMenna_113th.jpg HTTP/1.1" 200 24553 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:13:03:24 -0800] "GET /_assets/DiMenna_200th.jpg HTTP/1.1" 200 19272 "http://www.dimennabrotherspainting.com/about.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:13:03:24 -0800] "GET /_assets/DiMenna_201th.jpg HTTP/1.1" 200 24458 "http://www.dimennabrotherspainting.com/about.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:13:03:24 -0800] "GET /_assets/DiMenna_205th.jpg HTTP/1.1" 200 16395 "http://www.dimennabrotherspainting.com/about.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:13:03:24 -0800] "GET /_assets/DiMenna_202th.jpg HTTP/1.1" 200 22278 "http://www.dimennabrotherspainting.com/about.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:13:03:24 -0800] "GET /img/close.png HTTP/1.1" 404 89 "http://www.dimennabrotherspainting.com/about.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:13:03:24 -0800] "GET /img/next.png HTTP/1.1" 404 89 "http://www.dimennabrotherspainting.com/about.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "www.dimennabrotherspainting.com"
