177.13.235.18 - - [27/Oct/2015:08:46:07 -0700] "GET /_js/jquery-1.11.0.min.js HTTP/1.1" 200 96380 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "dimennabrotherspainting.com"
177.13.235.18 - - [27/Oct/2015:08:46:09 -0700] "GET /_assets/DiMenna_000.jpg HTTP/1.1" 200 395724 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "dimennabrotherspainting.com"
177.13.235.18 - - [27/Oct/2015:08:46:12 -0700] "GET /_assets/DiMenna_006.jpg HTTP/1.1" 200 381232 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "dimennabrotherspainting.com"
66.249.69.67 - - [27/Oct/2015:09:36:04 -0700] "GET /contact_us HTTP/1.1" 200 47592 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F70 Safari/600.1.4 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "www.dimennabrotherspainting.com"
179.197.135.32 - - [27/Oct/2015:12:35:46 -0700] "GET / HTTP/1.1" 200 6847 "http://buttons-for-website.com" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "dimennabrotherspainting.com"
179.197.135.32 - - [27/Oct/2015:12:35:47 -0700] "GET /_js/jquery-1.11.0.min.js HTTP/1.1" 200 96380 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "dimennabrotherspainting.com"
179.197.135.32 - - [27/Oct/2015:12:35:49 -0700] "GET /_img/dimennalogo.png HTTP/1.1" 200 15115 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "dimennabrotherspainting.com"
179.197.135.32 - - [27/Oct/2015:12:35:49 -0700] "GET /_img/alist.png HTTP/1.1" 200 98370 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "dimennabrotherspainting.com"
179.197.135.32 - - [27/Oct/2015:12:35:49 -0700] "GET /_assets/DiMenna_001.jpg HTTP/1.1" 200 451697 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "dimennabrotherspainting.com"
179.197.135.32 - - [27/Oct/2015:12:35:49 -0700] "GET /_assets/DiMenna_003.jpg HTTP/1.1" 200 349095 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "dimennabrotherspainting.com"
179.197.135.32 - - [27/Oct/2015:12:36:02 -0700] "GET /_assets/DiMenna_006.jpg HTTP/1.1" 200 381232 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "dimennabrotherspainting.com"
179.197.135.32 - - [27/Oct/2015:12:36:03 -0700] "GET /_assets/DiMenna_007.jpg HTTP/1.1" 200 370448 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "dimennabrotherspainting.com"
179.197.135.32 - - [27/Oct/2015:12:36:05 -0700] "GET /_assets/DiMenna_008.jpg HTTP/1.1" 200 441895 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "dimennabrotherspainting.com"
71.224.164.27 - - [27/Oct/2015:16:03:37 -0700] "GET /services.html HTTP/1.1" 200 6656 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.2.7 (KHTML, like Gecko)" "dimennabrotherspainting.com"
71.224.164.27 - - [27/Oct/2015:16:03:37 -0700] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 89 "-" "Safari/10601.2.7.2 CFNetwork/720.5.7 Darwin/14.5.0 (x86_64)" "dimennabrotherspainting.com"
71.224.164.27 - - [27/Oct/2015:16:03:37 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Safari/10601.2.7.2 CFNetwork/720.5.7 Darwin/14.5.0 (x86_64)" "dimennabrotherspainting.com"
71.224.164.27 - - [27/Oct/2015:16:03:38 -0700] "GET /apple-touch-icon.png HTTP/1.1" 404 89 "-" "Safari/10601.2.7.2 CFNetwork/720.5.7 Darwin/14.5.0 (x86_64)" "dimennabrotherspainting.com"
71.224.164.27 - - [27/Oct/2015:16:03:38 -0700] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 89 "-" "Safari/10601.2.7.2 CFNetwork/720.5.7 Darwin/14.5.0 (x86_64)" "dimennabrotherspainting.com"
71.224.164.27 - - [27/Oct/2015:16:03:38 -0700] "GET /apple-touch-icon.png HTTP/1.1" 404 89 "-" "Safari/10601.2.7.2 CFNetwork/720.5.7 Darwin/14.5.0 (x86_64)" "dimennabrotherspainting.com"
