71.224.164.27 - - [19/Dec/2015:10:18:09 -0800] "GET /_assets/DiMenna_111th.jpg HTTP/1.1" 200 133507 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [19/Dec/2015:10:18:09 -0800] "GET /_assets/DiMenna_114th.jpg HTTP/1.1" 200 25530 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [19/Dec/2015:10:18:09 -0800] "GET /_assets/DiMenna_113th.jpg HTTP/1.1" 200 24553 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [19/Dec/2015:10:18:09 -0800] "GET /_assets/DiMenna_112th.jpg HTTP/1.1" 200 144240 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [19/Dec/2015:10:18:09 -0800] "GET /img/close.png HTTP/1.1" 404 89 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [19/Dec/2015:10:18:09 -0800] "GET /img/prev.png HTTP/1.1" 404 89 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [19/Dec/2015:10:18:09 -0800] "GET /img/next.png HTTP/1.1" 404 89 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [19/Dec/2015:10:18:09 -0800] "GET /img/loading.gif HTTP/1.1" 404 89 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [19/Dec/2015:10:18:13 -0800] "GET /index.html HTTP/1.1" 200 6951 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [19/Dec/2015:10:18:13 -0800] "GET /_assets/DiMenna_005.jpg HTTP/1.1" 200 299635 "http://www.dimennabrotherspainting.com/index.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [19/Dec/2015:10:18:14 -0800] "GET /_assets/DiMenna_008.jpg HTTP/1.1" 200 441895 "http://www.dimennabrotherspainting.com/index.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [19/Dec/2015:10:18:14 -0800] "GET /_assets/DiMenna_006.jpg HTTP/1.1" 200 381232 "http://www.dimennabrotherspainting.com/index.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [19/Dec/2015:10:18:14 -0800] "GET /_assets/DiMenna_007.jpg HTTP/1.1" 200 370448 "http://www.dimennabrotherspainting.com/index.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
66.249.75.106 - - [19/Dec/2015:13:30:00 -0800] "GET /_assets/DiMenna_300.jpg HTTP/1.1" 200 129462 "-" "Googlebot-Image/1.0" "www.dimennabrotherspainting.com"
180.76.15.159 - - [19/Dec/2015:14:28:38 -0800] "GET /_js/lightbox.min.js HTTP/1.1" 200 7800 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.dimennabrotherspainting.com"
66.249.75.210 - - [19/Dec/2015:14:30:17 -0800] "GET /_assets/DiMenna_203th.jpg HTTP/1.1" 200 22197 "-" "Googlebot-Image/1.0" "dimennabrotherspainting.com"
