166.137.244.127 - - [29/Feb/2016:09:57:02 -0800] "GET /_assets/DiMenna_007.jpg HTTP/1.1" 200 370448 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (iPad; CPU OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "dimennabrotherspainting.com"
166.137.244.127 - - [29/Feb/2016:09:57:02 -0800] "GET /_assets/DiMenna_008.jpg HTTP/1.1" 200 441895 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (iPad; CPU OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "dimennabrotherspainting.com"
166.137.244.127 - - [29/Feb/2016:09:58:05 -0800] "GET /services.html HTTP/1.1" 200 6875 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (iPad; CPU OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "dimennabrotherspainting.com"
166.137.244.127 - - [29/Feb/2016:09:58:06 -0800] "GET /_assets/DiMenna_105th.jpg HTTP/1.1" 200 20509 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPad; CPU OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "dimennabrotherspainting.com"
166.137.244.127 - - [29/Feb/2016:09:58:06 -0800] "GET /_assets/DiMenna_100th.jpg HTTP/1.1" 200 26342 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPad; CPU OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "dimennabrotherspainting.com"
166.137.244.127 - - [29/Feb/2016:09:58:06 -0800] "GET /_assets/DiMenna_102th.jpg HTTP/1.1" 200 24886 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPad; CPU OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "dimennabrotherspainting.com"
166.137.244.127 - - [29/Feb/2016:09:58:06 -0800] "GET /_assets/DiMenna_107th.jpg HTTP/1.1" 200 20865 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPad; CPU OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "dimennabrotherspainting.com"
166.137.244.127 - - [29/Feb/2016:09:58:06 -0800] "GET /_assets/DiMenna_108th.jpg HTTP/1.1" 200 146245 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPad; CPU OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "dimennabrotherspainting.com"
166.137.244.127 - - [29/Feb/2016:09:58:06 -0800] "GET /_assets/DiMenna_109th.jpg HTTP/1.1" 200 25863 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPad; CPU OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "dimennabrotherspainting.com"
166.137.244.127 - - [29/Feb/2016:09:58:06 -0800] "GET /_assets/DiMenna_110th.jpg HTTP/1.1" 200 27731 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPad; CPU OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "dimennabrotherspainting.com"
166.137.244.127 - - [29/Feb/2016:09:58:06 -0800] "GET /_assets/DiMenna_114th.jpg HTTP/1.1" 200 25530 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPad; CPU OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "dimennabrotherspainting.com"
166.137.244.127 - - [29/Feb/2016:09:58:06 -0800] "GET /_assets/DiMenna_111th.jpg HTTP/1.1" 200 133507 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPad; CPU OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "dimennabrotherspainting.com"
166.137.244.127 - - [29/Feb/2016:09:58:06 -0800] "GET /_assets/DiMenna_112th.jpg HTTP/1.1" 200 144240 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPad; CPU OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "dimennabrotherspainting.com"
166.137.244.127 - - [29/Feb/2016:09:58:06 -0800] "GET /img/close.png HTTP/1.1" 404 89 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPad; CPU OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "dimennabrotherspainting.com"
166.137.244.127 - - [29/Feb/2016:09:58:06 -0800] "GET /img/prev.png HTTP/1.1" 404 89 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPad; CPU OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "dimennabrotherspainting.com"
166.137.244.127 - - [29/Feb/2016:09:58:06 -0800] "GET /img/next.png HTTP/1.1" 404 89 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPad; CPU OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "dimennabrotherspainting.com"
166.137.244.127 - - [29/Feb/2016:09:58:06 -0800] "GET /img/loading.gif HTTP/1.1" 404 89 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPad; CPU OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "dimennabrotherspainting.com"
166.137.244.127 - - [29/Feb/2016:09:58:06 -0800] "GET /_assets/DiMenna_113th.jpg HTTP/1.1" 200 24553 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPad; CPU OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "dimennabrotherspainting.com"
157.55.39.241 - - [29/Feb/2016:10:32:30 -0800] "GET /services.html HTTP/1.1" 200 6875 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.dimennabrotherspainting.com"
