66.249.64.25 - - [21/Nov/2015:21:01:13 -0800] "GET /contact_us HTTP/1.1" 200 47786 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "dimennabrotherspainting.com"
180.76.15.142 - - [22/Nov/2015:10:19:17 -0800] "GET / HTTP/1.1" 200 35297 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "dimennabrotherspainting.com"
71.185.230.158 - - [22/Nov/2015:10:49:51 -0800] "GET / HTTP/1.1" 200 35297 "https://www.google.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13A452 Safari/601.1" "www.dimennabrotherspainting.com"
71.185.230.158 - - [22/Nov/2015:10:49:51 -0800] "GET /yahoo_site_admin/assets/images/powerwashing-annapolis-940x360.187134547_std.jpg HTTP/1.1" 200 51762 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13A452 Safari/601.1" "www.dimennabrotherspainting.com"
71.185.230.158 - - [22/Nov/2015:10:49:51 -0800] "GET /yahoo_site_admin/assets/images/paint_buckets.18495216_std.jpg HTTP/1.1" 200 11764 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13A452 Safari/601.1" "www.dimennabrotherspainting.com"
71.185.230.158 - - [22/Nov/2015:10:49:51 -0800] "GET /yahoo_site_admin/assets/images/power-washing3.187134423_std.jpg HTTP/1.1" 200 135008 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13A452 Safari/601.1" "www.dimennabrotherspainting.com"
71.185.230.158 - - [22/Nov/2015:10:50:31 -0800] "GET / HTTP/1.1" 200 35297 "https://www.google.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13A452 Safari/601.1" "www.dimennabrotherspainting.com"
71.185.230.158 - - [22/Nov/2015:10:51:15 -0800] "GET / HTTP/1.1" 200 35297 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13A452 Safari/601.1" "www.dimennabrotherspainting.com"
67.217.35.215 - - [22/Nov/2015:11:14:54 -0800] "GET /robots.txt HTTP/1.1" 200 54 "http://www.dimennabrotherspainting.com/robots.txt" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36" "www.dimennabrotherspainting.com"
67.217.35.215 - - [22/Nov/2015:11:14:54 -0800] "GET / HTTP/1.1" 200 35297 "http://www.dimennabrotherspainting.com" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36" "www.dimennabrotherspainting.com"
67.217.35.215 - - [22/Nov/2015:11:14:54 -0800] "GET / HTTP/1.1" 200 35297 "-" "Mozilla" "www.dimennabrotherspainting.com"
