64.235.52.218 - - [18/Dec/2015:04:47:53 -0800] "GET / HTTP/1.1" 200 6951 "-" "Mozilla/5.0 (compatible; houzzbot; +http://www.houzz.com/)" "dimennabrotherspainting.com"
180.76.15.150 - - [18/Dec/2015:05:05:19 -0800] "GET /services HTTP/1.1" 200 17422 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "dimennabrotherspainting.com"
66.249.75.218 - - [18/Dec/2015:11:38:42 -0800] "GET /contact-us/ HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "dimennabrotherspainting.com"
40.77.167.55 - - [18/Dec/2015:12:58:01 -0800] "GET /services.html HTTP/1.1" 200 6875 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.dimennabrotherspainting.com"
207.46.13.71 - - [18/Dec/2015:12:58:38 -0800] "GET /_css/main.css HTTP/1.1" 200 27326 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.dimennabrotherspainting.com"
40.77.167.55 - - [18/Dec/2015:13:00:04 -0800] "GET /_css/lightbox.css HTTP/1.1" 200 3874 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.dimennabrotherspainting.com"
207.46.13.138 - - [18/Dec/2015:13:01:25 -0800] "GET /_js/lightbox.js HTTP/1.1" 200 14872 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.dimennabrotherspainting.com"
157.55.39.165 - - [18/Dec/2015:13:11:25 -0800] "GET /_js/jquery-1.11.0.min.js HTTP/1.1" 200 96380 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Dec/2015:14:41:01 -0800] "GET /services.html HTTP/1.1" 200 6875 "https://www.google.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Dec/2015:14:41:01 -0800] "GET /_css/main.css HTTP/1.1" 200 27326 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Dec/2015:14:41:01 -0800] "GET /_assets/DiMenna_100th.jpg HTTP/1.1" 200 26342 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Dec/2015:14:41:01 -0800] "GET /_img/alist.png HTTP/1.1" 200 98370 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Dec/2015:14:41:01 -0800] "GET /_js/jquery-1.11.0.min.js HTTP/1.1" 200 96380 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Dec/2015:14:41:02 -0800] "GET /_assets/DiMenna_109th.jpg HTTP/1.1" 200 25863 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Dec/2015:14:41:02 -0800] "GET /_assets/DiMenna_111th.jpg HTTP/1.1" 200 133507 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Dec/2015:14:41:02 -0800] "GET /_assets/DiMenna_108th.jpg HTTP/1.1" 200 146245 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Dec/2015:14:41:02 -0800] "GET /_assets/DiMenna_112th.jpg HTTP/1.1" 200 144240 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Dec/2015:14:41:02 -0800] "GET /img/loading.gif HTTP/1.1" 404 89 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
