173.252.90.117 - - [24/Feb/2016:17:17:20 -0800] "GET /_assets/DiMenna_200th.jpg HTTP/1.1" 206 9000 "http://dimennabrotherspainting.com/about.html" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
173.252.90.96 - - [24/Feb/2016:17:17:20 -0800] "GET /_assets/DiMenna_201th.jpg HTTP/1.1" 206 9000 "http://dimennabrotherspainting.com/about.html" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
173.252.90.99 - - [24/Feb/2016:17:17:20 -0800] "GET /_assets/DiMenna_205th.jpg HTTP/1.1" 206 9000 "http://dimennabrotherspainting.com/about.html" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
173.252.90.106 - - [24/Feb/2016:17:17:20 -0800] "GET /_assets/DiMenna_206th.jpg HTTP/1.1" 206 9000 "http://dimennabrotherspainting.com/about.html" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
173.252.90.124 - - [24/Feb/2016:17:17:20 -0800] "GET /_assets/DiMenna_207th.jpg HTTP/1.1" 206 9000 "http://dimennabrotherspainting.com/about.html" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
173.252.90.110 - - [24/Feb/2016:17:17:20 -0800] "GET /_assets/DiMenna_204th.jpg HTTP/1.1" 206 9000 "http://dimennabrotherspainting.com/about.html" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
173.252.90.126 - - [24/Feb/2016:17:17:20 -0800] "GET /_assets/DiMenna_202th.jpg HTTP/1.1" 206 9000 "http://dimennabrotherspainting.com/about.html" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
66.220.158.119 - - [24/Feb/2016:17:17:21 -0800] "GET /_assets/DiMenna_200th.jpg HTTP/1.1" 200 19272 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
173.252.89.54 - - [24/Feb/2016:17:17:21 -0800] "GET /_assets/DiMenna_202th.jpg HTTP/1.1" 200 22278 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
173.252.89.53 - - [24/Feb/2016:17:17:21 -0800] "GET /_assets/DiMenna_206th.jpg HTTP/1.1" 200 33716 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
173.252.89.56 - - [24/Feb/2016:17:17:22 -0800] "GET /_assets/DiMenna_205th.jpg HTTP/1.1" 200 16395 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
173.252.89.57 - - [24/Feb/2016:17:17:22 -0800] "GET /_assets/DiMenna_207th.jpg HTTP/1.1" 200 28279 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
173.252.90.99 - - [24/Feb/2016:17:17:23 -0800] "GET /_assets/DiMenna_200th.jpg HTTP/1.1" 206 19272 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
66.220.145.246 - - [24/Feb/2016:17:17:23 -0800] "GET /_js/jquery-1.11.0.min.js HTTP/1.1" 200 96380 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "dimennabrotherspainting.com"
66.220.145.246 - - [24/Feb/2016:17:17:23 -0800] "GET /_js/lightbox.js HTTP/1.1" 200 14872 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "dimennabrotherspainting.com"
