107.131.160.240 - - [05/Dec/2015:14:38:49 -0800] "GET /_img/dimennalogo.png HTTP/1.1" 200 15115 "http://dimennabrotherspainting.com/index.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [05/Dec/2015:14:38:50 -0800] "GET /_img/alist.png HTTP/1.1" 200 98370 "http://dimennabrotherspainting.com/index.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [05/Dec/2015:14:38:50 -0800] "GET /_assets/DiMenna_001.jpg HTTP/1.1" 200 451697 "http://dimennabrotherspainting.com/index.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [05/Dec/2015:14:38:50 -0800] "GET /_assets/DiMenna_003.jpg HTTP/1.1" 200 349095 "http://dimennabrotherspainting.com/index.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [05/Dec/2015:14:38:50 -0800] "GET /_assets/DiMenna_002.jpg HTTP/1.1" 200 245421 "http://dimennabrotherspainting.com/index.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [05/Dec/2015:14:38:50 -0800] "GET /_assets/DiMenna_000.jpg HTTP/1.1" 200 395724 "http://dimennabrotherspainting.com/index.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [05/Dec/2015:14:38:50 -0800] "GET /_assets/DiMenna_007.jpg HTTP/1.1" 200 370448 "http://dimennabrotherspainting.com/index.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [05/Dec/2015:14:38:50 -0800] "GET /_assets/DiMenna_005.jpg HTTP/1.1" 200 299635 "http://dimennabrotherspainting.com/index.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [05/Dec/2015:14:38:50 -0800] "GET /_assets/DiMenna_008.jpg HTTP/1.1" 200 441895 "http://dimennabrotherspainting.com/index.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [05/Dec/2015:14:38:50 -0800] "GET /_assets/DiMenna_009.jpg HTTP/1.1" 200 335724 "http://dimennabrotherspainting.com/index.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [05/Dec/2015:14:38:51 -0800] "GET /_assets/DiMenna_006.jpg HTTP/1.1" 200 381232 "http://dimennabrotherspainting.com/index.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
