71.224.164.27 - - [23/Nov/2015:15:27:35 -0800] "GET /apple-touch-icon.png HTTP/1.1" 404 89 "-" "Safari/10601.2.7.2 CFNetwork/720.5.7 Darwin/14.5.0 (x86_64)" "dimennabrotherspainting.com"
71.224.164.27 - - [23/Nov/2015:15:27:37 -0800] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Safari/10601.2.7.2 CFNetwork/720.5.7 Darwin/14.5.0 (x86_64)" "dimennabrotherspainting.com"
71.224.164.27 - - [23/Nov/2015:15:27:37 -0800] "GET /apple-touch-icon.png HTTP/1.1" 404 89 "-" "Safari/10601.2.7.2 CFNetwork/720.5.7 Darwin/14.5.0 (x86_64)" "dimennabrotherspainting.com"
71.224.164.27 - - [23/Nov/2015:15:27:44 -0800] "GET /_assets/DiMenna_200th.jpg HTTP/1.1" 200 19272 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/601.2.7" "dimennabrotherspainting.com"
71.224.164.27 - - [23/Nov/2015:15:27:44 -0800] "GET /_img/dimennalogo.png HTTP/1.1" 200 15115 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/601.2.7" "dimennabrotherspainting.com"
71.224.164.27 - - [23/Nov/2015:15:27:44 -0800] "GET /_assets/DiMenna_201th.jpg HTTP/1.1" 200 24458 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/601.2.7" "dimennabrotherspainting.com"
71.224.164.27 - - [23/Nov/2015:15:27:44 -0800] "GET /_assets/DiMenna_202th.jpg HTTP/1.1" 200 22278 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/601.2.7" "dimennabrotherspainting.com"
71.224.164.27 - - [23/Nov/2015:15:27:44 -0800] "GET /_img/alist.png HTTP/1.1" 200 98370 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/601.2.7" "dimennabrotherspainting.com"
71.224.164.27 - - [23/Nov/2015:15:27:44 -0800] "GET /_assets/DiMenna_204th.jpg HTTP/1.1" 200 20335 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/601.2.7" "dimennabrotherspainting.com"
71.224.164.27 - - [23/Nov/2015:15:27:44 -0800] "GET /img/loading.gif HTTP/1.1" 404 89 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/601.2.7" "dimennabrotherspainting.com"
71.224.164.27 - - [23/Nov/2015:15:27:44 -0800] "GET /_assets/DiMenna_211th.jpg HTTP/1.1" 200 23857 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/601.2.7" "dimennabrotherspainting.com"
71.224.164.27 - - [23/Nov/2015:15:27:44 -0800] "GET /img/next.png HTTP/1.1" 404 89 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/601.2.7" "dimennabrotherspainting.com"
71.224.164.27 - - [23/Nov/2015:15:27:45 -0800] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 89 "-" "Safari/10601.2.7.2 CFNetwork/720.5.7 Darwin/14.5.0 (x86_64)" "dimennabrotherspainting.com"
71.224.164.27 - - [23/Nov/2015:15:27:45 -0800] "GET /apple-touch-icon.png HTTP/1.1" 404 89 "-" "Safari/10601.2.7.2 CFNetwork/720.5.7 Darwin/14.5.0 (x86_64)" "dimennabrotherspainting.com"
71.224.164.27 - - [23/Nov/2015:15:27:45 -0800] "GET /img/close.png HTTP/1.1" 404 89 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/601.2.7" "dimennabrotherspainting.com"
71.224.164.27 - - [23/Nov/2015:15:27:45 -0800] "GET /img/loading.gif HTTP/1.1" 404 89 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/601.2.7" "dimennabrotherspainting.com"
