71.230.40.151 - - [18/Jan/2016:14:01:00 -0800] "GET /_assets/DiMenna_112th.jpg HTTP/1.1" 200 144240 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "dimennabrotherspainting.com"
71.230.40.151 - - [18/Jan/2016:14:01:00 -0800] "GET /_assets/DiMenna_114th.jpg HTTP/1.1" 200 25530 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "dimennabrotherspainting.com"
71.230.40.151 - - [18/Jan/2016:14:01:00 -0800] "GET /img/close.png HTTP/1.1" 404 89 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "dimennabrotherspainting.com"
71.230.40.151 - - [18/Jan/2016:14:01:00 -0800] "GET /img/loading.gif HTTP/1.1" 404 89 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "dimennabrotherspainting.com"
71.230.40.151 - - [18/Jan/2016:14:01:00 -0800] "GET /img/prev.png HTTP/1.1" 404 89 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "dimennabrotherspainting.com"
71.230.40.151 - - [18/Jan/2016:14:01:00 -0800] "GET /img/next.png HTTP/1.1" 404 89 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "dimennabrotherspainting.com"
71.230.40.151 - - [18/Jan/2016:14:01:21 -0800] "GET /about.html HTTP/1.1" 200 6204 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "dimennabrotherspainting.com"
71.230.40.151 - - [18/Jan/2016:14:01:21 -0800] "GET /_assets/DiMenna_200th.jpg HTTP/1.1" 200 19272 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "dimennabrotherspainting.com"
71.230.40.151 - - [18/Jan/2016:14:01:21 -0800] "GET /_assets/DiMenna_204th.jpg HTTP/1.1" 200 20335 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "dimennabrotherspainting.com"
71.230.40.151 - - [18/Jan/2016:14:01:21 -0800] "GET /_assets/DiMenna_203th.jpg HTTP/1.1" 200 22197 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "dimennabrotherspainting.com"
