73.13.217.175 - - [08/Mar/2016:14:17:48 -0800] "GET /_assets/DiMenna_009.jpg HTTP/1.1" 200 335724 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36" "www.dimennabrotherspainting.com"
73.13.217.175 - - [08/Mar/2016:14:17:48 -0800] "GET /_assets/DiMenna_008.jpg HTTP/1.1" 200 441895 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36" "www.dimennabrotherspainting.com"
73.13.217.175 - - [08/Mar/2016:14:17:49 -0800] "GET /favicon.ico HTTP/1.1" 404 89 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36" "www.dimennabrotherspainting.com"
73.13.217.175 - - [08/Mar/2016:14:17:53 -0800] "GET /about.html HTTP/1.1" 200 6204 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36" "www.dimennabrotherspainting.com"
73.13.217.175 - - [08/Mar/2016:14:17:53 -0800] "GET /_js/lightbox.js HTTP/1.1" 200 14872 "http://www.dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36" "www.dimennabrotherspainting.com"
73.13.217.175 - - [08/Mar/2016:14:17:53 -0800] "GET /_css/lightbox.css HTTP/1.1" 200 3874 "http://www.dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36" "www.dimennabrotherspainting.com"
73.13.217.175 - - [08/Mar/2016:14:17:53 -0800] "GET /_assets/DiMenna_200th.jpg HTTP/1.1" 200 19272 "http://www.dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36" "www.dimennabrotherspainting.com"
73.13.217.175 - - [08/Mar/2016:14:17:53 -0800] "GET /_assets/DiMenna_204th.jpg HTTP/1.1" 200 20335 "http://www.dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36" "www.dimennabrotherspainting.com"
73.13.217.175 - - [08/Mar/2016:14:17:53 -0800] "GET /_assets/DiMenna_203th.jpg HTTP/1.1" 200 22197 "http://www.dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36" "www.dimennabrotherspainting.com"
73.13.217.175 - - [08/Mar/2016:14:17:53 -0800] "GET /_assets/DiMenna_207th.jpg HTTP/1.1" 200 28279 "http://www.dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36" "www.dimennabrotherspainting.com"
73.13.217.175 - - [08/Mar/2016:14:17:53 -0800] "GET /img/close.png HTTP/1.1" 404 89 "http://www.dimennabrotherspainting.com/_css/lightbox.css" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36" "www.dimennabrotherspainting.com"
73.13.217.175 - - [08/Mar/2016:14:17:53 -0800] "GET /_assets/DiMenna_211th.jpg HTTP/1.1" 200 23857 "http://www.dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36" "www.dimennabrotherspainting.com"
73.13.217.175 - - [08/Mar/2016:14:17:53 -0800] "GET /_assets/DiMenna_210th.jpg HTTP/1.1" 200 31996 "http://www.dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36" "www.dimennabrotherspainting.com"
73.13.217.175 - - [08/Mar/2016:14:17:53 -0800] "GET /img/loading.gif HTTP/1.1" 404 89 "http://www.dimennabrotherspainting.com/_css/lightbox.css" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36" "www.dimennabrotherspainting.com"
